lp_w,Pf_Ps,alpha,beta,trap_frac,mean_vx
3.75,1.625,1.707680701981824,1.0383439917078336,0.376,1.0445071010664713
3.75,1.75,1.7509409189727763,1.0678640402795956,0.3762111111111111,1.1174990948724188
3.75,1.875,1.8057252908532744,1.0088122564432935,0.3773666666666667,1.1958865199865838
3.75,2.0,1.7895042457609411,1.0449708314811332,0.3746,1.3005435477710545
4.0,0.125,1.0513471633653888,1.0389628641794464,0.38654444444444447,0.06650957659413492
4.0,0.25,1.0873588506711929,1.0211569250068158,0.3900777777777778,0.16151302157228578
4.0,0.375,1.1405948403479036,1.0227075187257495,0.38722222222222225,0.2444445688013194
4.0,0.5,1.224942025939972,1.0225096160022171,0.38722222222222225,0.3311265946702909
4.0,0.625,1.2943005177278095,1.0120536608423147,0.38434444444444443,0.42515240716793884
4.0,0.75,1.3632805196950724,0.977121118405546,0.38553333333333334,0.47316748371307765
4.0,0.875,1.4438097986246816,0.9819341947286222,0.38297777777777775,0.5882637544551971
4.0,1.0,1.5037720238785495,0.980431203245865,0.3841777777777778,0.6623466070473989
4.0,1.125,1.5566609441597128,0.9726663962325045,0.37937777777777776,0.7787804809206306
4.0,1.25,1.5962990306247231,1.0301013294059884,0.3801222222222222,0.8434471040378146
4.0,1.375,1.6396695656083176,1.0382640246360033,0.3803888888888889,0.9448190560028243
4.0,1.5,1.657571221141082,1.0203047959770906,0.3836888888888889,0.9781225039761031
4.0,1.625,1.6539917122162207,1.0064184534876457,0.3839888888888889,1.0427640477181368
4.0,1.75,1.7257460363076793,1.0026263530540809,0.37835555555555556,1.1953244205293339
4.0,1.875,1.7494315893358516,1.0345545156937985,0.3787888888888889,1.2591386508741127
4.0,2.0,1.7734787292445904,1.0551164035878628,0.3762333333333333,1.3608729803981234
