# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
2.5,7.5,1.999160699002928,1.001168354391287,0.23679546968158183,1.7882972760488662
2.5,8.0,1.9972572730335616,1.0116257924186278,0.22580289573338347,1.9741860863400436
2.75,0.5,1.932372577695869,1.007148593897119,1.897145396523933,-0.3623601807665801
2.75,1.0,2.018893093912481,0.9870546109143814,0.6095007042891617,-0.4776663551681386
2.75,1.5,2.0294256531523946,0.9641140974264635,0.30782194380694744,-0.4137480918654717
2.75,2.0,2.024585797515711,0.8695846892259637,0.2875717350144105,-0.30347771668237283
2.75,2.5,2.005651587056667,0.9076999216876317,0.22251440842753192,-0.16164872121946106
2.75,3.0,1.2137173695166845,0.9011650917715606,0.20195465866577383,-0.01733388885575348
2.75,3.5,1.9146684592487277,1.0101951274039034,0.13707111644637895,0.13633720372370214
2.75,4.0,1.9702518559642752,0.9786306202718236,0.15879430115118626,0.31237375438826037
2.75,4.5,1.9865236332070304,0.9712151532320557,0.17738540801875194,0.46004790298347165
2.75,5.0,1.9928790548957436,0.9242179572251111,0.22558233963781715,0.6317971395634276
2.75,5.5,1.993096303547633,1.0002707679508633,0.17783713517048855,0.7978283696366781
2.75,6.0,1.994781063359155,0.9547492934042564,0.24361075372773286,0.9851284982259163
2.75,6.5,1.9953912700927676,0.9634740041544826,0.22241627894560467,1.1605550432694034
2.75,7.0,1.9948364843626232,0.9894574997793641,0.21304792905143669,1.3320734225929145
2.75,7.5,1.9976247484940215,0.9832659302364479,0.229881223483461,1.4983673615968087
2.75,8.0,1.996812460946585,0.9397752021630362,0.28105566387623054,1.688536035026759
3.0,0.5,1.9579223828504968,0.986662809028789,2.371958112398753,-0.3898047761564784
3.0,1.0,2.028647979585444,0.9499232846493577,0.8664203098414938,-0.4939673401303559
3.0,1.5,2.022823428133626,0.9391895947307194,0.3901516237183057,-0.4549454163364843
3.0,2.0,2.0216573720061275,0.9263661746346152,0.24307255701450892,-0.3638341401021316
3.0,2.5,2.017166206599824,0.9243025730097733,0.19683451216059827,-0.24203875865454702
3.0,3.0,1.9893222110264632,0.9937729291210817,0.13673207463407205,-0.10994163354653291
3.0,3.5,1.4908660376180238,0.8528515913325823,0.23577627616034413,0.03748552002270188
3.0,4.0,1.9383785886251896,0.9687198379438273,0.15899578768752579,0.18526436041401675
3.0,4.5,1.9754831581328864,0.9682285043436423,0.1636605684579631,0.3271294712849892
3.0,5.0,1.983516967479927,0.9084023233870675,0.21644777403473453,0.49975309149718045
3.0,5.5,1.99016745327509,0.9370435146260799,0.21922976254919577,0.6460782387198403
3.0,6.0,1.9949565734846204,0.9572554823886429,0.20988268965991666,0.8014744989730667
3.0,6.5,1.9947657499390425,1.0010264861837281,0.19856568843564218,0.9622579313128389
3.0,7.0,1.994427323418718,0.9311800310065118,0.2637903168071521,1.1218167197413675
3.0,7.5,1.9952133684848201,0.9695748585032355,0.24516613914485172,1.290702179675735
3.0,8.0,1.9971953984947863,0.9438254674351256,0.25943301877532965,1.452431104723946
3.25,0.5,1.941847032973959,0.971426561708449,3.253897893727503,-0.39587410706369014
3.25,1.0,2.023501691244241,0.93035657099101,1.0385948782494607,-0.5183116023045653
3.25,1.5,2.027861120735451,0.8987967096451875,0.4528621702734104,-0.4968236586041704
3.25,2.0,2.0249264119066126,0.9192876724003677,0.25453412941429643,-0.404033030303886
3.25,2.5,2.027707574428524,0.8523812539322718,0.24936725338880072,-0.2905170520877557
3.25,3.0,2.0328200472944324,0.9321625169979335,0.17091074052769678,-0.1742398211872986
3.25,3.5,1.804041051039065,0.905289843532743,0.2012524906545605,-0.043863589401208665
3.25,4.0,1.8647436779968563,0.9573343379248628,0.15230456146054797,0.081879814854039
3.25,4.5,1.9572532974341885,0.9297914150357713,0.18742152318691127,0.21317406384102272
3.25,5.0,1.9851424455192255,1.008594965559555,0.13723911456127635,0.36263073696735415
3.25,5.5,1.9889922723412103,0.9872783516147516,0.16198268211742978,0.5055112139201065
3.25,6.0,1.9943862495774753,1.0085008296368199,0.1610837845599428,0.6450740164898386
3.25,6.5,1.9938609499875628,1.0161068668784503,0.16619038131754887,0.8104339551882946
3.25,7.0,1.9973067343090185,0.9720514509184364,0.21004606740924134,0.95420937993649
3.25,7.5,1.9944945573828223,0.9223421636945294,0.2802094507299899,1.094902485501104
3.25,8.0,1.9987288480516168,1.005646047696427,0.21481447344131838,1.2385919812069257
3.5,0.5,1.9644966917759117,0.9539835581097464,3.6397005084203355,-0.4001776821516474
3.5,1.0,2.0334635273432813,0.930317447217876,1.1952229718573715,-0.5313537312862615
3.5,1.5,2.027827488349168,0.8553516613759384,0.5879519480072677,-0.5151152831783826
3.5,2.0,2.028887296094078,0.8295459560591728,0.3599467110266908,-0.44837052203911343
3.5,2.5,2.024050342392375,0.8331474151990949,0.27779882168434145,-0.3451725704100146
3.5,3.0,2.0223400478076017,0.9138083611908642,0.18316115149004883,-0.23080318630839453
3.5,3.5,2.0117670664781686,0.9354910615391895,0.16803964324388132,-0.11486377568288507
3.5,4.0,0.992251178174013,0.9626042966925142,0.14656824976453656,0.003967184675830442
3.5,4.5,1.9192851431753848,0.9276610052074294,0.17393712190742422,0.13482578978027843
3.5,5.0,1.9744863360386598,0.9186022838472647,0.17611333722584607,0.2539256630887307
3.5,5.5,1.9781346256950432,0.9922866170788011,0.14679366659831344,0.3855846457664908
3.5,6.0,1.9928166918190613,0.9661112429345495,0.17622224273104456,0.5254199447995113
3.5,6.5,1.9940124631381089,0.9470566988704276,0.19715538298663787,0.6607102051163575
3.5,7.0,1.9926271723333984,1.0154991871706862,0.17931612221383098,0.7976629694503882
3.5,7.5,1.9959327794555999,0.9387829396903394,0.23272773672356636,0.9278399523812828
3.5,8.0,1.9963569852589071,1.0125508596038124,0.1968595712822466,1.0705133365580939
3.75,0.5,1.9611390689697994,1.018816772423202,3.309110125211527,-0.42455545500896347
3.75,1.0,2.025239248446566,0.8983588115613411,1.5248023657280974,-0.5500807775491502
3.75,1.5,2.029270718684443,0.910736858543252,0.5009472253571893,-0.5400600380011196
3.75,2.0,2.025262683258946,0.8633897728583014,0.33614827910946427,-0.4801350015962338
3.75,2.5,2.0219531980118246,0.7987523009669975,0.28557154798789997,-0.39136595440211625
3.75,3.0,2.025990953863128,0.8719474622242189,0.2021731940038537,-0.28281712046375074
3.75,3.5,2.0293984772397815,0.9399604795317598,0.14260405968443504,-0.18354575564448783
3.75,4.0,1.94490308811836,0.8997245246037756,0.16893364421850593,-0.0664559309450607
3.75,4.5,1.7310198898773035,0.8912924679311588,0.17680570930762154,0.05200227070434196
3.75,5.0,1.9481975857648952,0.9371671460060206,0.1562995260676181,0.16593058921875378
3.75,5.5,1.9750709188234818,0.96592237770421,0.1500658450458613,0.29025787885992915
3.75,6.0,1.9885966811385585,0.937182334098831,0.1807763530302745,0.4128728862461422
3.75,6.5,1.988681159810765,0.9924933328845343,0.15877700407193682,0.5359943756588755
3.75,7.0,1.9935851185261182,0.9585316522162499,0.20219197280123605,0.6619750812316865
3.75,7.5,1.9933982986054686,1.0060465071383378,0.1847677615496153,0.7952618479214478
3.75,8.0,1.996701478321198,0.9282440936340546,0.25836842893368284,0.9177130001055052
4.0,0.5,1.9533127375737478,0.9246728443235317,5.206225806127957,-0.42073738810228717
4.0,1.0,2.0343407931928605,0.9366190727607054,1.5083838916619074,-0.5789283253386522
4.0,1.5,2.022930931514084,0.9335174589586673,0.5156260539400139,-0.5612092129429918
4.0,2.0,2.0207924513016007,0.8694880015914823,0.3485851529478654,-0.5038496361377023
4.0,2.5,2.0308968279004342,0.8380118178495748,0.2680004040305119,-0.4262389440241544
4.0,3.0,2.0272465847126506,0.8745556014003729,0.18840893406708595,-0.32520370588167596
