# G = 1.0
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
3.5,1.75,1.1455181608151772,0.9222688945290596,1.5700936634791112,0.12118187549325378
3.5,1.875,1.7364639565791744,1.0518024746563077,1.0604003113648228,0.44645973248358495
3.5,2.0,1.8494125657481877,1.0309567322893003,1.2781719802390459,0.8046680998063257
3.75,0.125,2.011256125193075,1.0086199185467895,2.3350476057935943,-1.958618008542848
3.75,0.25,2.029442845027124,0.8708729541192066,0.9664019247724609,-2.5253852728796105
3.75,0.375,2.0307786885210506,0.7299575190368496,0.7410712487280694,-2.5572522331492222
3.75,0.5,2.0289376284085514,0.7984879208883728,0.5275130029688831,-2.4464041442682296
3.75,0.625,2.025169936507981,0.7463748015923102,0.7024938946597727,-2.247055724263079
3.75,0.75,2.0231651155693013,0.883237604769574,0.46255210218356907,-2.080261005439571
3.75,0.875,2.02267789823428,0.9318270868522873,0.45710930940300465,-1.8956441532064416
3.75,1.0,2.0186634518029267,0.8886803477076947,0.6682760933665964,-1.637953832542396
3.75,1.125,2.0250410498071587,1.0139875270650163,0.4938592616595175,-1.387065457429766
3.75,1.25,2.016908748211198,0.941075362088062,0.7865491809036655,-1.096094854053756
3.75,1.375,1.987983344635623,0.8909116443455767,1.1344618878087365,-0.8117086641769662
3.75,1.5,1.9048757894009016,1.017939914733774,0.8396619213060518,-0.5608324240464406
3.75,1.625,1.5576933811349016,0.9951886192771324,1.1107757338888686,-0.21879317492322767
3.75,1.75,1.0623940552597255,1.0157071264725883,1.1762018901550788,0.06737004130341422
3.75,1.875,1.6200550937228553,0.9669369648295683,1.5199228892859733,0.3684906482359516
3.75,2.0,1.8153680637870173,0.9810533542518559,1.7205505140346722,0.7421494393306975
4.0,0.125,2.0286076971307305,0.9606786965039903,2.710247899910817,-2.2014384014765067
4.0,0.25,2.03104318800909,0.7933414601798231,1.0751172943963396,-2.750516584423787
4.0,0.375,2.026597814606448,0.7411800192479923,0.7239527317883419,-2.7657801373144526
4.0,0.5,2.0252743733035756,0.7824007967454744,0.5229532090461397,-2.654839961695613
4.0,0.625,2.0255653709898795,0.8109978651163967,0.5384735785260004,-2.4489000091504662
4.0,0.75,2.022966680241924,0.9038185097208329,0.49933121220100224,-2.2543421820703475
4.0,0.875,2.0227932445741095,0.9015620877953645,0.5580635036794591,-2.018036979228075
4.0,1.0,2.0141120985342282,0.8600908573654208,0.7679234886623555,-1.784541703911686
4.0,1.125,2.020551244665713,0.9185402386248127,0.7511683151385548,-1.5165213298882674
4.0,1.25,2.0089049230540326,0.9727054592576472,0.6863481676221194,-1.2463838408029602
4.0,1.375,1.9890470638950222,0.9884028869833962,0.8388402806092177,-0.9367713776438431
4.0,1.5,1.9345356952901174,0.9280506986340149,1.2026774969101912,-0.6571511462792426
4.0,1.625,1.7193126244350807,1.0223717884531607,0.9630993393155306,-0.3131056774803775
4.0,1.75,0.9577733776017764,0.956874107148995,1.4636222212299572,-0.010337662364649567
4.0,1.875,1.6010236700634375,1.0408936551442634,1.2932565071558813,0.3901181324308644
4.0,2.0,1.82526864459925,0.9652523815595399,1.8160258508628302,0.6693601475756739
