# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
2.5,4.0,1.7382985422829689,1.0567135507430312,2.93143063347598,0.32136724030999875
2.5,4.5,1.8112746633443235,1.0367427459082417,3.1333374223552073,0.381988433515065
2.5,5.0,1.8250408780744922,1.0512089147138977,3.237561802628746,0.4128971489604334
2.5,5.5,1.8270636798097737,1.0396442113112774,3.5235583356289735,0.45646760946159015
2.5,6.0,1.8475610833174594,1.040333792729596,3.5420922808855977,0.4976017440652116
2.5,6.5,1.8618958685739244,1.0605216178121806,3.392859119213707,0.5409673566167474
2.5,7.0,1.8711584382514932,1.0435214437475633,3.880526604640222,0.5873543521525136
2.5,7.5,1.8619239793664568,1.0022060544835385,4.640026194667729,0.6193675509455537
2.5,8.0,1.8911402997103395,1.0377686690515524,4.1607178696398925,0.6650737906102691
2.75,0.5,1.0601411138126922,1.016151922595969,3.368100846676932,0.028429180970452016
2.75,1.0,1.1297761321718252,0.9405024925764656,4.77632833480718,0.07285653860973333
2.75,1.5,1.329499813764574,1.0504162643757335,3.2923207872614384,0.10411141874568051
2.75,2.0,1.4395330654491898,1.031071988532322,3.4423094128190326,0.14722974789080326
2.75,2.5,1.5356516428127647,0.9559576189097733,4.366616119757477,0.1721064807492932
2.75,3.0,1.648075043179699,1.0724242750996815,2.9711427346959156,0.20790604104416255
2.75,3.5,1.6351218280073234,1.0088664466410504,3.860550611752157,0.2516850663996306
2.75,4.0,1.714011481118802,0.9848113631122661,4.2288090993285365,0.2825969214913063
2.75,4.5,1.7952504411698798,1.0031195722922668,3.960543349639635,0.34423123898557423
2.75,5.0,1.8007236432379037,1.0307695945242257,3.915870960622572,0.35442955504202794
2.75,5.5,1.8007444309463534,1.038462385893807,3.8267421423398713,0.3875887313448974
2.75,6.0,1.8321270409653496,1.040634203159907,3.9871899700224858,0.4223596771526667
2.75,6.5,1.8675972267983243,1.0979657119078106,3.4763366529328827,0.4542298008592917
2.75,7.0,1.8344246469302017,1.0407297590620979,4.345536999214223,0.5069504884085044
2.75,7.5,1.8562054039509843,1.0130141768562588,4.8064903224597275,0.5369979438573332
2.75,8.0,1.8807787542053465,1.0397791450290799,4.527001834291422,0.5670580051290073
3.0,0.5,1.0478630486374427,1.0088136719004341,4.325030633355622,0.03248288895122262
3.0,1.0,1.2048888917771496,1.0315521154871448,3.707767355275474,0.06410957411897263
3.0,1.5,1.2901807234261549,1.02723779349361,3.8592955687327954,0.0892702475946948
3.0,2.0,1.4114793626650588,1.0675833390149603,3.477699712178809,0.1282075472409521
3.0,2.5,1.4977537095820996,1.0526196377547428,3.8949807254923416,0.1561030298881492
3.0,3.0,1.5345078009732862,0.937909638353743,5.7260165968440955,0.19011947881206626
3.0,3.5,1.6100947437922404,1.0070899510128195,4.779139187141678,0.21362681052068414
3.0,4.0,1.7018588536298709,1.0263998076152838,4.284018447631407,0.2520262488032962
3.0,4.5,1.7407195178806614,1.042814974302977,4.100032075967953,0.28841385744307463
3.0,5.0,1.7390906050099981,1.0353710819152275,4.334905490160441,0.3243693802816137
