# G = 1.0
# D = 0.01
lp_w,U_v,alpha,beta,D_eff,mean_vx
1.0,0.125,1.3089898291152076,1.0080070727902553,0.4619363392119918,-0.09680642438951709
1.0,0.25,1.6256974629483443,1.0295842132595412,0.3577023523758945,-0.1833502372500299
1.0,0.375,1.7880004318468739,1.0050541262227781,0.32673051435811684,-0.19933339481545576
1.0,0.5,1.7883283049396923,1.0344982515094174,0.28169837208556964,-0.2171578943965182
1.0,0.625,1.791436565563199,1.0285802962278079,0.2527108058687892,-0.19588752922416175
1.0,0.75,1.6186461598129818,0.9747327720845702,0.3185298019608437,-0.14133382798740202
1.0,0.875,1.4301453787635754,0.9801963134338517,0.3103294756959587,-0.11028805187984021
1.0,1.0,1.1020695330493504,1.0130228535366732,0.2710915188584964,-0.051452090626842334
1.0,1.125,1.0821995803183604,1.032294072268251,0.25818045553699326,0.02475733081757619
1.0,1.25,1.3844198324853658,0.9522009899789332,0.37183365667156765,0.11773035482110487
1.0,1.375,1.6354663183748435,0.9897913180531573,0.31765728154572775,0.2040970971386464
1.0,1.5,1.7751937300794358,1.041754826851678,0.2881292864726231,0.28612911212676784
1.0,1.625,1.819532936815201,1.0353143256388535,0.32323745253931496,0.3551191854609305
1.0,1.75,1.853553265788059,0.9532738464693229,0.46061459990610887,0.4532315910641911
1.0,1.875,1.9113121288092838,0.9817180538401874,0.4059147945639664,0.5873176695641626
1.0,2.0,1.9400104448994022,1.0675744321461182,0.325126240477194,0.6459188538701385
1.0,2.125,1.9410925374245351,1.008887430457522,0.40723643827838035,0.7541577630053838
1.0,2.25,1.9382508732764647,1.0412207500464432,0.37723941532073724,0.8514237086049374
1.0,2.375,1.961569935801346,0.9925674059867056,0.480349962551611,0.9131055084036284
1.0,2.5,1.9612043594804254,0.9943953030464965,0.5013843579588059,1.029477769637626
1.0,2.625,1.970966542405274,0.9881936137604763,0.5296924994840986,1.1206653818014052
1.0,2.75,1.9726007995125026,1.019249136174268,0.514859702851694,1.2031393828125843
1.0,2.875,1.9739580845068063,1.0088989749014088,0.5205624062439628,1.3269764356084812
1.0,3.0,1.9724192568215688,1.0465642394136898,0.47300950293645605,1.4208503132090264
1.0,3.125,1.9712446510196981,0.953004066523862,0.7078101942448294,1.5047656158562546
1.0,3.25,1.977843914573835,1.0265860440835521,0.5480626352533289,1.5929967328971213
1.0,3.375,1.9794967700920019,1.0671661378110273,0.5331580365425956,1.6799120901264502
1.0,3.5,1.983220019347314,1.0196948367720435,0.6412347347144712,1.7515163776512765
1.0,3.625,1.9848424389567996,1.0305319189622493,0.6459964344078774,1.874776481705593
1.0,3.75,1.9730735960375203,1.0038279474720317,0.7689408758030679,1.9777514001677925
1.0,3.875,1.9874072089588957,1.029119602967956,0.6773532861678141,2.0461051495729516
1.0,4.0,1.9812416118772205,1.030790869398208,0.7133982661457029,2.154631243922825
1.25,0.125,1.5192596211305753,1.024891558719093,0.6391986995284006,-0.1453539505168587
1.25,0.25,1.8063785540776196,1.0051848369357457,0.5707934666126165,-0.24735311382013409
1.25,0.375,1.9032212080648654,1.0019341666508974,0.4127256118510981,-0.2938044787414046
1.25,0.5,1.9316681877017574,0.9984490475340818,0.3495164343331906,-0.32572229499281696
1.25,0.625,1.9016502252420193,0.8817184576917257,0.5578136518965371,-0.2992315355846585
1.25,0.75,1.8998355565300213,0.9338080923948208,0.40624181485962846,-0.2539752810388063
1.25,0.875,1.798146021823186,1.0331807623175269,0.2679722478357909,-0.16517562656072043
1.25,1.0,1.5397632662888496,0.9846479678174556,0.36384706469159817,-0.10943688337113192
1.25,1.125,1.1310165908338652,1.0093863853460943,0.3601423700317527,-0.0490914305739404
1.25,1.25,1.1305871456426462,1.0357456717408298,0.3426691125522606,0.03630297125227793
1.25,1.375,1.458493014110951,0.9493545696365823,0.5008640339917175,0.13978782230533193
1.25,1.5,1.7225448682796023,0.9476636970263731,0.5198023036049785,0.20779181181517759
1.25,1.625,1.8249869834110606,1.0192414215880679,0.42551140003519183,0.30715797997983185
1.25,1.75,1.8814069899028303,1.0039846974534767,0.49273751637552826,0.39558419844861137
1.25,1.875,1.9151481788756048,1.028418778745274,0.4601837711318373,0.46372726410079385
1.25,2.0,1.9318287977220348,1.026152108632917,0.5084337241280341,0.569206998213664
1.25,2.125,1.9257279984856794,1.0267449675050135,0.5225159949598123,0.6745615205222273
1.25,2.25,1.952993680974654,1.0243439181938088,0.5427565982975099,0.7786968388391038
1.25,2.375,1.9613605328690686,1.0430708920306246,0.5477326548552008,0.8806840616959081
1.25,2.5,1.9561373644228186,1.0219294959110454,0.611430776745026,0.9687682677608158
1.25,2.625,1.9810639668230192,1.0271376818843616,0.607184048365909,1.0560807126827876
1.25,2.75,1.9724808525984232,1.0228023278076317,0.6381817918065602,1.149866488578887
1.25,2.875,1.9674068789209578,0.9621431211128875,0.8252367548905704,1.252833885488653
1.25,3.0,1.979354915546167,1.0016598505684466,0.7619542265989602,1.361727676209356
