# Ps Pf beta Deff
3.00 2.5 1.0376026125617444 0.2552688354753783
3.00 3.0 0.9643844368447264 0.5625835128274788
3.00 3.5 1.0252588065905441 0.44233427059153446
3.00 4.0 0.9953757369658227 0.663905627906039
3.00 4.5 0.9786741769088994 0.9639752389739805
3.00 5.0 0.968147170995112 1.2286948903753607
3.00 5.5 1.0066955516920335 1.0910856892170497
3.00 6.0 1.0240636649994084 1.1130927639816557
3.00 6.5 1.0400216613369364 1.154972209270179
3.00 7.0 1.0054774132990478 1.7092618657977623
3.00 7.5 0.9617084919422201 2.4619448927239316
3.00 8.0 0.9941715415194614 2.1819884054179104
3.25 0.5 1.005433454772237 1.671058499094461
3.25 1.0 1.029688310590117 0.3010950058317169
3.25 1.5 1.0176294209216887 0.20944234246967525
3.25 2.0 1.0382253076790207 0.18609548857194247
3.25 2.5 0.9663216977410157 0.3918479002628193
3.25 3.0 0.9825770854096224 0.43498171983581185
3.25 3.5 1.020675971232217 0.40058189412882284
3.25 4.0 1.0093137544187591 0.5335006483045057
3.25 4.5 1.0375179459590242 0.5453919577240056
3.25 5.0 0.9990986894752326 0.8837745866238881
3.25 5.5 0.9841659348889842 1.1702383225825301
3.25 6.0 0.9766657208959574 1.5319507130154335
3.25 6.5 1.0085993953635792 1.3459964017908936
3.25 7.0 1.0075542668900392 1.5483718194430824
3.25 7.5 0.9903644629520587 1.9291570784515037
3.25 8.0 0.975553546842175 2.4325611697107474
3.50 0.5 0.9922512882654588 2.049905442522041
3.50 1.0 1.0095177709588594 0.36128588461241906
3.50 1.5 0.9935690889952097 0.22845504138804243
3.50 2.0 1.0412158409512493 0.1689393637005634
3.50 2.5 1.0252215118314918 0.22563533539254974
3.50 3.0 0.9980754498647361 0.3432403533975852
3.50 3.5 0.9894363897043267 0.4503419793094949
3.50 4.0 0.9639833321995388 0.6958418021558406
3.50 4.5 0.9567789691801721 0.8822005907110583
3.50 5.0 0.9920601842392572 0.8341864882565526
3.50 5.5 0.9825064755985563 1.0833527074472156
3.50 6.0 0.9769816909009423 1.3028159663918606
3.50 6.5 1.0057104439558393 1.2608157091687169
3.50 7.0 1.0288751867312829 1.239685059855869
3.50 7.5 0.9691897748994122 2.143738162121447
3.50 8.0 0.9956031006715973 2.07227576068867
