# Ps Pf alpha
3.00 8.0 2.000560086592889
3.25 0.5 2.0008149692206727
3.25 1.0 1.9996426873712347
3.25 1.5 1.9997311862921392
3.25 2.0 1.9999853962983534
3.25 2.5 1.9994742835734616
3.25 3.0 1.9985647232722177
3.25 3.5 2.000464819726939
3.25 4.0 2.000527835979417
3.25 4.5 1.9957495423419875
3.25 5.0 1.9922556832634386
3.25 5.5 1.9682067111225667
3.25 6.0 1.992193349223967
3.25 6.5 1.999533766211351
3.25 7.0 1.999537214202663
3.25 7.5 1.9969162725057044
3.25 8.0 1.9990390493709818
3.50 0.5 2.001131559606927
3.50 1.0 2.000138972596839
3.50 1.5 1.999631815219206
3.50 2.0 1.9998134981398998
3.50 2.5 2.000846782519714
3.50 3.0 2.0003285359573826
3.50 3.5 2.0004300815009195
3.50 4.0 1.999788886397082
3.50 4.5 2.000471355927008
3.50 5.0 2.00103351000959
3.50 5.5 1.9984603665520346
3.50 6.0 1.9450099107224421
3.50 6.5 1.9973572388607221
3.50 7.0 1.9994922543092926
3.50 7.5 1.998939188581509
3.50 8.0 1.9974711276903252
3.75 0.5 1.998348302009088
3.75 1.0 2.0002103623929837
3.75 1.5 1.9998374696219252
3.75 2.0 1.9999705276206416
3.75 2.5 2.0000104542234176
